"match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
3,"17",4,"2017",18,16,"1","2"
6,"14",3,"2018",12,6,"1","0"
3,"11",7,"2018",22,3,"2","1"
4,"14",5,"2016",28,5,"0","2"
3,"7",6,"2016",28,27,"2","0"
3,"29",7,"2015",3,11,"3","3"
6,"16",3,"2016",27,23,"0","3"
6,"16",9,"2017",3,15,"2","1"
6,"22",9,"2018",14,6,"1","1"
6,"21",8,"2017",13,24,"3","0"
3,"20",7,"2016",19,3,"0","1"
4,"30",7,"2015",27,20,"1","1"
3,"23",4,"2018",4,8,"0","1"
6,"22",8,"2016",8,2,"3","1"
2,"17",2,"2017",20,23,"2","0"
3,"19",5,"2017",5,1,"2","1"
6,"7",7,"2015",3,22,"0","1"
3,"7",8,"2018",14,20,"1","5"
3,"15",8,"2017",15,11,"1","1"
3,"14",10,"2016",13,23,"2","1"
6,"8",10,"2015",27,2,"1","3"
4,"7",2,"2018",20,24,"5","0"
3,"11",6,"2018",19,15,"1","1"
7,"23",8,"2018",20,8,"3","1"
3,"17",4,"2017",13,5,"4","1"
3,"3",1,"2016",27,1,"1","0"
1,"4",1,"2018",20,4,"2","2"
6,"18",7,"2017",20,5,"2","0"
6,"28",3,"2018",7,19,"0","0"
1,"15",4,"2016",18,17,"3","1"
6,"24",6,"2018",8,19,"1","1"
6,"25",7,"2017",10,8,"1","1"
6,"15",8,"2016",3,26,"6","1"
6,"23",3,"2016",13,19,"4","0"
4,"29",10,"2016",13,10,"3","1"
4,"6",5,"2017",23,13,"0","2"
5,"20",3,"2018",24,4,"1","2"
6,"22",8,"2016",20,25,"0","0"
6,"5",4,"2015",19,13,"2","0"
3,"14",6,"2016",4,22,"5","1"
6,"23",4,"2017",20,7,"3","3"
7,"31",8,"2017",24,22,"1","0"
7,"6",4,"2016",25,26,"1","0"
2,"1",6,"2017",17,1,"2","1"
3,"16",8,"2016",2,10,"0","1"
3,"12",5,"2017",11,18,"3","0"
6,"11",10,"2018",16,8,"2","1"
6,"15",10,"2015",23,27,"1","3"
3,"28",10,"2016",26,16,"0","1"
3,"4",5,"2018",1,19,"0","0"
4,"17",4,"2018",7,16,"3","1"
3,"17",1,"2016",4,11,"3","3"
4,"4",3,"2016",16,11,"1","0"
3,"2",4,"2018",2,24,"2","0"
3,"25",7,"2018",16,2,"0","0"
6,"22",8,"2016",26,19,"0","2"
4,"5",6,"2018",7,5,"2","2"
3,"7",6,"2016",22,18,"1","0"
3,"20",5,"2016",4,10,"2","2"
2,"1",6,"2017",7,4,"1","1"
1,"3",5,"2016",7,13,"3","0"
1,"14",1,"2016",5,8,"0","1"
3,"11",7,"2018",4,11,"0","0"
1,"3",1,"2019",3,6,"3","3"
2,"29",7,"2017",18,22,"2","2"
3,"26",6,"2017",18,3,"2","1"
4,"28",7,"2016",16,10,"1","1"
3,"6",7,"2016",24,2,"3","2"
3,"28",8,"2018",8,10,"1","1"
4,"4",1,"2016",11,5,"1","1"
6,"6",8,"2018",24,12,"1","1"
4,"7",5,"2016",18,16,"1","0"
6,"6",2,"2017",26,23,"0","2"
3,"7",6,"2016",5,6,"1","0"
3,"14",1,"2018",3,20,"2","1"
7,"2",1,"2018",8,12,"3","0"
2,"2",1,"2019",20,14,"4","1"
6,"21",8,"2017",4,6,"4","2"
3,"24",4,"2017",1,12,"1","1"
6,"24",9,"2016",17,13,"1","3"
6,"29",10,"2015",28,23,"2","2"
1,"27",4,"2018",6,4,"1","2"
3,"13",2,"2018",1,13,"0","1"
3,"26",7,"2017",5,18,"1","1"
6,"8",10,"2015",3,28,"0","1"
6,"27",8,"2018",7,21,"4","1"
6,"16",3,"2016",11,1,"1","1"
7,"15",5,"2016",8,22,"1","0"
6,"7",2,"2016",2,19,"2","1"
1,"3",1,"2019",12,24,"1","2"
3,"10",4,"2017",22,8,"2","3"
1,"27",4,"2018",7,22,"4","0"
6,"13",2,"2017",23,17,"0","2"
2,"3",1,"2018",10,18,"2","1"
3,"10",4,"2017",1,20,"1","1"
3,"31",4,"2017",2,13,"0","0"
3,"5",5,"2017",18,2,"0","2"
3,"15",2,"2016",1,2,"4","1"
3,"22",7,"2015",11,28,"4","0"
7,"29",4,"2015",11,19,"3","4"
5,"2",5,"2018",20,13,"0","3"
