"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
86,3,"14",2,"2017",10,7,"0","4"
1371,6,"12",10,"2017",2,12,"0","3"
70,3,"13",1,"2019",2,6,"1","2"
100,6,"7",2,"2016",23,4,"3","2"
119,4,"2",2,"2016",1,13,"4","2"
74,3,"13",1,"2019",21,12,"0","0"
123,3,"1",2,"2016",20,27,"1","0"
104,6,"7",2,"2016",2,19,"2","1"
77,3,"13",1,"2019",24,14,"2","1"
76,4,"9",2,"2016",13,20,"2","2"
108,6,"7",2,"2016",3,18,"1","1"
127,3,"1",2,"2016",17,7,"3","1"
79,3,"13",1,"2019",15,7,"0","1"
113,6,"7",2,"2016",28,22,"0","0"
131,3,"1",2,"2016",16,8,"1","1"
80,4,"9",2,"2016",7,6,"2","0"
117,7,"3",2,"2016",4,5,"2","2"
84,3,"8",2,"2016",8,11,"3","1"
83,3,"13",1,"2019",4,22,"2","1"
89,6,"5",2,"2018",18,5,"1","0"
140,6,"28",3,"2018",24,15,"0","0"
96,6,"5",2,"2018",8,10,"0","2"
121,6,"28",3,"2018",7,19,"0","0"
101,6,"5",2,"2018",3,17,"1","0"
144,7,"24",3,"2018",11,22,"1","0"
91,6,"5",2,"2018",6,22,"2","1"
125,6,"28",3,"2018",1,3,"2","1"
105,7,"1",2,"2018",5,6,"2","0"
148,4,"23",3,"2018",13,17,"5","0"
128,6,"28",3,"2018",22,18,"0","1"
109,4,"30",3,"2018",16,20,"2","1"
132,6,"28",3,"2018",12,11,"0","2"
152,3,"22",3,"2018",19,24,"1","1"
111,3,"29",3,"2018",17,4,"0","1"
136,6,"28",3,"2018",2,8,"5","0"
156,3,"22",3,"2018",20,10,"4","1"
116,3,"29",3,"2018",10,13,"1","4"
88,3,"13",1,"2019",11,3,"2","0"
120,7,"9",2,"2017",4,25,"3","0"
97,5,"4",1,"2019",13,7,"2","1"
141,6,"6",2,"2017",13,2,"5","0"
124,4,"8",2,"2017",20,16,"2","0"
102,6,"13",2,"2017",23,17,"0","2"
92,6,"12",1,"2019",10,20,"1","0"
145,6,"6",2,"2017",8,6,"3","0"
129,3,"7",2,"2017",17,11,"1","0"
107,6,"13",2,"2017",25,1,"1","2"
149,6,"6",2,"2017",26,23,"0","2"
112,6,"13",2,"2017",3,24,"2","1"
133,3,"7",2,"2017",7,1,"0","0"
153,6,"6",2,"2017",24,18,"2","2"
137,6,"6",2,"2017",10,5,"1","0"
115,1,"11",2,"2017",1,20,"0","2"
157,6,"6",2,"2017",3,19,"2","2"
160,6,"21",3,"2018",18,7,"2","2"
232,3,"23",4,"2018",4,8,"0","1"
163,6,"21",3,"2018",6,2,"0","0"
87,3,"8",2,"2016",5,1,"1","2"
126,2,"2",1,"2019",21,5,"0","3"
95,6,"7",2,"2016",10,17,"1","4"
142,3,"30",4,"2018",5,9,"1","3"
164,4,"1",2,"2017",5,20,"2","0"
93,6,"7",2,"2016",27,16,"0","1"
146,3,"30",4,"2018",8,21,"0","1"
130,7,"1",1,"2019",11,8,"0","1"
165,3,"30",4,"2018",1,13,"1","3"
150,3,"30",4,"2018",14,12,"1","0"
134,4,"31",4,"2018",16,3,"4","1"
166,3,"24",3,"2016",23,20,"0","0"
154,3,"30",4,"2018",15,11,"1","0"
138,3,"30",4,"2018",6,22,"1","1"
158,3,"30",4,"2018",7,20,"5","1"
161,7,"2",2,"2017",6,7,"0","1"
159,3,"30",4,"2018",2,4,"0","1"
370,3,"2",3,"2017",1,3,"0","0"
90,6,"13",2,"2017",11,6,"1","0"
135,6,"30",3,"2016",18,10,"0","3"
98,6,"13",2,"2017",13,8,"2","1"
143,6,"30",3,"2016",19,23,"1","1"
162,4,"25",3,"2016",8,17,"4","0"
94,6,"13",2,"2017",18,4,"0","1"
167,5,"20",3,"2018",8,1,"0","0"
139,6,"30",3,"2016",6,28,"3","2"
147,6,"30",3,"2016",22,2,"1","0"
151,6,"30",3,"2016",11,3,"2","1"
168,3,"30",3,"2017",25,13,"2","2"
169,3,"30",4,"2018",24,10,"2","0"
155,7,"26",3,"2016",5,18,"1","1"
170,6,"23",3,"2016",7,22,"2","2"
171,5,"20",3,"2018",24,4,"1","2"
172,3,"30",3,"2017",11,4,"0","3"
173,5,"28",4,"2018",1,10,"1","2"
392,3,"2",4,"2018",1,16,"2","2"
