"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
2032,1,"22",5,"2012",5,19,"1","1"
2043,4,"12",5,"2012",27,30,"1","1"
2104,3,"22",1,"2012",19,18,"1","2"
2042,7,"13",5,"2012",20,22,"2","1"
2031,6,"24",5,"2012",4,5,"0","0"
2084,3,"5",6,"2012",18,17,"1","2"
2030,3,"25",5,"2012",19,13,"1","1"
2083,3,"5",6,"2012",30,11,"1","1"
2029,3,"25",5,"2012",20,28,"3","0"
2028,3,"25",5,"2012",32,33,"2","1"
2027,3,"25",5,"2012",7,30,"1","2"
2082,4,"6",6,"2012",4,16,"3","3"
2026,3,"25",5,"2012",27,9,"2","1"
2103,3,"22",1,"2012",23,17,"2","0"
2133,3,"1",1,"2012",17,5,"1","1"
2093,1,"2",6,"2012",14,18,"1","1"
2081,7,"7",6,"2012",7,5,"0","0"
2025,3,"25",5,"2012",23,29,"3","1"
2102,3,"22",1,"2012",9,28,"2","3"
2074,3,"12",6,"2012",14,19,"2","1"
2073,3,"12",6,"2012",23,20,"1","2"
2056,3,"4",5,"2012",29,11,"1","1"
2089,3,"5",6,"2012",22,28,"2","1"
2132,4,"2",1,"2012",23,13,"1","0"
2122,1,"5",1,"2012",22,16,"3","0"
2101,4,"23",1,"2012",20,16,"1","2"
2108,3,"22",1,"2012",32,7,"3","1"
1819,4,"16",3,"2012",16,28,"4","0"
1812,7,"17",3,"2012",20,30,"1","2"
2080,6,"11",6,"2012",16,7,"2","1"
1920,4,"9",3,"2012",5,27,"1","2"
2079,3,"12",6,"2012",9,18,"1","5"
1804,6,"21",3,"2012",33,27,"2","0"
1796,6,"21",3,"2012",32,17,"1","1"
2131,7,"3",1,"2012",14,20,"2","1"
2078,3,"12",6,"2012",5,22,"5","0"
1827,6,"14",3,"2012",27,13,"1","6"
2071,4,"13",6,"2012",28,13,"0","1"
2057,3,"4",5,"2012",13,32,"2","0"
2121,1,"12",1,"2012",5,11,"2","0"
2077,3,"12",6,"2012",33,29,"3","2"
1948,3,"8",3,"2012",16,29,"2","0"
